编号	普通话	方言	发音	注释
0386	理发	剃头	ti55dau21 	
0387	梳头	撩头 梳头	liu21dau21 sœ23dau331 	
0388	米饭	饭	maŋ35 	
0389	稀饭	糜粥	mi21ʒøuk5 	用米熬的，统称
0390	面粉	面粉	miŋ44ŋuŋ41 	麦子磨的，统称
0391	面条	面	miŋ23 	统称
0392	面儿	粉	huŋ41 	玉米～，辣椒～
0393	馒头	馒头	maŋ21nau21 	无馅的，统称
0394	包子	包	bau331 	
0395	饺子	饺	giu41 	
0396	馄饨	扁食	biŋ44nek5 	
0397	馅儿	心	seiŋ331 	
0398	油条	臭腐条	cau55u44lœ35 	旧称
0399	豆浆	腐浆	hu44ʒioŋ331 	
0400	豆腐脑	豆腐囝	dau23u44iaŋ41 	
0401	元宵	馏囝 粞圆	liu21iaŋ41 cœ55uŋ21 	食品 食品
0402	粽子	粽	zœuŋ35 	
0403	年糕	肉糕	nik44gor331 	
0404	点心	点心	diŋ55neiŋ331 	统称
0405	菜	乇饰 乇配	nor55lek5 nor55puoi35 	吃饭时吃的，统称 吃饭时吃的，统称
0406	干菜	菜干	cai55aŋ331 	统称
0407	豆腐	豆腐	dau44ou23 	
0408	猪血	猪血	di44ou23 	当菜的
0409	猪蹄	猪骹 蹄结 七寸	di44a331 dae21giek5 ci55zorŋ35 	当菜的 当菜的 当菜的
0410	猪舌头	猪舌	di23sik5 	当菜的，注意婉称
0411	猪肝	猪肝	di41aŋ331 	当菜的，注意婉称
0412	下水	下水	a44i41 	猪牛羊的内脏
0413	鸡蛋	鸡卵	gi44loruŋ23 	
0414	松花蛋	皮卵	pui21loruŋ23 	
0415	猪油	猪油	di23yeu331 	
0416	香油	麻油	mo21yeu21 	
0417	酱油	酱油	zioŋ55yeu21 	
0418	盐	盐	siŋ21 	名词
0419	醋	醋	cou35 	注意婉称
0420	香烟	洋薰	yioŋ21ŋoruŋ331 	
0421	旱烟	祠=薰	su21oruŋ331 	
0422	白酒	烧酒	siu23iu331 	
0423	黄酒	冬麦	dœuŋ23mak2 	
